,Text,Aspect Term,Sentiment,Polarity
33,"धर्म सस्कृति सबै सकेर देश ईसाईकरण गर्छ ने क पा ले अब सरकारि जग्गा त बचाउन नसकिएकाे अबश्था मा , ।",देश ईसाईकरण गर्छ,GENERAL,1
34,छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू ?,कति ठुलाे बिटाे मिल्याे,GENERAL,1
35,छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू ?,प्रपञ्च,GENERAL,1
36,यो गुठी बिदयक मा बिष्णु पौडेल को हात छ यो पद् मा अर्याल भने को भु माफिया को हनुमान हो यो गद्दार आइमाई लाई कालोमोसो दलेर जुत्ता को माला लायर देश निकाला गर्नुपर्छ ।,भु माफिया को हनुमान,GENERAL,1
37,यो गुठी बिदयक मा बिष्णु पौडेल को हात छ यो पद् मा अर्याल भने को भु माफिया को हनुमान हो यो गद्दार आइमाई लाई कालोमोसो दलेर जुत्ता को माला लायर देश निकाला गर्नुपर्छ ।,गद्दार,GENERAL,1
38,यो गुठी बिदयक मा बिष्णु पौडेल को हात छ यो पद् मा अर्याल भने को भु माफिया को हनुमान हो यो गद्दार आइमाई लाई कालोमोसो दलेर जुत्ता को माला लायर देश निकाला गर्नुपर्छ ।,कालोमोसो दलेर जुत्ता को माला लायर देश निकाला गर्नुपर्छ,GENERAL,1
39,"जनता को नाम मा नेता ले खान हुने , किसानकाे नाम मा गुठी हामी ले खान नहुने वा रे वा , , ।",खान नहुने वा रे वा,GENERAL,1
40,यस को बिरोध गर्ने हरु सबै नहोलान तर मुख्यपात्र हरु अहिले सम्म त्यही गुठी को चल अचल सम्पती माथी रजाइ गर्ने हरुनै हुन अब रजाइ गर्न नपाइने भो भनेर सडक मा आयर रोय का हुन यो हामी सबै ले बुझ्नु पर्छ ।,रजाइ गर्ने,GENERAL,1
41,परिबर्तन बिरोधी हरु परिबर्तन स्युकार्न गार्हो भा को मात्र हो यी सब नाटक हुन ।,नाटक हुन,GENERAL,1
42,जस ले जे भने पनि आखिर नेपाल को धर्म सस्कृती परम्परा मौलिक लाई मास्ने नै हो किन अहिले कि सरकार नस्तिक र होलि वाइन खाने हरु को छ ।,नस्तिक र होलि वाइन खाने,GENERAL,1
43,पक्कै पनि हिन्दुत्व समाप्त पार्ने खेल हो कि जस्तो भान आमनागरिक मा भए को छ पछिल्लो गुठी काण्ड ले ।,समाप्त पार्ने खेल हो,GENERAL,1
44,"बाकिनै अब यहि त थियो , गुठी , अरुत सबै खतम भै सके को , नदिनाला , कलकारखाना , धर्म , सस्कृती , गै त सक्यो , बा की आस लाग्दो नेपाली सेना छ , गुठी , ।",गै त सक्यो,GENERAL,1
45,"बाकिनै अब यहि त थियो , गुठी , अरुत सबै खतम भै सके को , नदिनाला , कलकारखाना , धर्म , सस्कृती , गै त सक्यो , बा की आस लाग्दो नेपाली सेना छ , गुठी , ।",खतम भै सके को,GENERAL,1
46,बाहुन ले च्याउ खाए पो स्वाद जस्तै गुठि नै नभए को बाहुन लाइ गुठि कर्म मर्म के थाहा कुरा ले त अनपढ बाहुन ले phD लाइ निल्दिन्छ ।,अनपढ,GENERAL,1
47,बाहुन ले च्याउ खाए पो स्वाद जस्तै गुठि नै नभए को बाहुन लाइ गुठि कर्म मर्म के थाहा कुरा ले त अनपढ बाहुन ले phD लाइ निल्दिन्छ ।,गुठि कर्म मर्म के थाहा,GENERAL,1
48,बाहुन ले च्याउ खाए पो स्वाद जस्तै गुठि नै नभए को बाहुन लाइ गुठि कर्म मर्म के थाहा कुरा ले त अनपढ बाहुन ले phD लाइ निल्दिन्छ ।,च्याउ खाए पो स्वाद,GENERAL,1
49,देउता पनि बेच्न लागे बाहुन क्षेत्री ले ।,बेच्न लागे,GENERAL,1
50,यो दुइ जना बाहुन हरु भु माफिया को एजेन्ट हरु हुन ।,भु माफिया को एजेन्ट,GENERAL,1
51,यो नेपाल का बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद / किराँत मासेर किश्नन बनाउने पनि यिनै हुनु देश को सब स्रम्पदा मासने भए यी बाहुन को खोल्ड अोडने ले. ... ।,लखेटनु प्ररने,GENERAL,1
52,यो नेपाल का बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद / किराँत मासेर किश्नन बनाउने पनि यिनै हुनु देश को सब स्रम्पदा मासने भए यी बाहुन को खोल्ड अोडने ले. ... ।,स्रम्पदा मासने भए,GENERAL,1
53,भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य द्वारा बर्बर दमन गरेर लोकतन्त्र को कम्मर मुनि को भुत्ला देखायो ।,कम्मर मुनि को भुत्ला देखायो,GENERAL,1
54,भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य द्वारा बर्बर दमन गरेर लोकतन्त्र को कम्मर मुनि को भुत्ला देखायो ।,भ्रष्टाचार बिरोधि अभियन्ता,GENERAL,0
55,नेपाल बिरोधि अपराधी हरु ले पालेको मिडिया कुनै चुइक्क बोलेनन् ।,अपराधी हरु ले पालेको,GENERAL,1
56,कान्तिपुर यस्तै अपराधी दलाल हरु ले पालेको एउटा मिडिया हो ।,अपराधी दलाल हरु ले पालेको,GENERAL,1
57,उपस्थित विद्वान हरु मा कस कस को गुठी छ ?,विद्वान,GENERAL,0
58,कुनाई जाती र समुदाय लाई मास्नु या खतम गर्नुछ भने उस को धर्म र सँन्स्कार खतम गर्नु पर्छ भन्ने नीति हो यो गुठि बिध्यायक नीति ।,सँन्स्कार खतम गर्नु पर्छ,GENERAL,1
59,यो सब भु माफिया को चाल हो भने नेपाल सरकार पनि तिनै भु माफिया को गोटि बन्दैछ ।,भु माफिया को गोटि,GENERAL,1
60,यो सब भु माफिया को चाल हो भने नेपाल सरकार पनि तिनै भु माफिया को गोटि बन्दैछ ।,भु माफिया को चाल,GENERAL,1
61,विधेक फिर्ता हुनैपर्छ नत्र चर्को आन्दोलन हुने छ ?,फिर्ता हुनैपर्छ,GENERAL,1
62,दलाल नेता सरकार ले आफै मोहि बनी हदपिने दाउ हो ।,दलाल,GENERAL,1
63,दलाल नेता सरकार ले आफै मोहि बनी हदपिने दाउ हो ।,हदपिने दाउ,GENERAL,1
64,याहाँ त लाटो देश मा बाठो तन्देरी भनेजस्तो भो ।,लाटो देश मा बाठो तन्देरी,GENERAL,1
65,बामे का छाउरा हरु ले देस सक्क्ने भय ।,छाउरा,GENERAL,1
66,बामे का छाउरा हरु ले देस सक्क्ने भय ।,देस सक्क्ने भय,GENERAL,1
67,यो सबै काठ्माडो को न्यावार जाति लाइ हरुलाइ लगार्ने नियात हो ।,लगार्ने नियात,GENERAL,1
68,भ्रष्ट चोर दलाली हरु मठ मन्दिर को गुठी ब्याक्तीगत नाम मा गरिए को छ सरकार ले ठोस कदम चालोस ।,भ्रष्ट चोर दलाली,GENERAL,1
69,अहिले धर्म मात्र बेचे का छन र चोर हरु ले सत्ता मा आयपछी 30 / 35 हजार प्रत्येक नेपालि को टाउको मा रिण बोकाय को छ बरु पन्चायत ठिक रहेछ ।,ठिक रहेछ,GENERAL,0
70,अहिले धर्म मात्र बेचे का छन र चोर हरु ले सत्ता मा आयपछी 30 / 35 हजार प्रत्येक नेपालि को टाउको मा रिण बोकाय को छ बरु पन्चायत ठिक रहेछ ।,चोर,GENERAL,1
71,यो विधेक मा चोर भ्रस्टचारी बाहुन छेत्री हरु को नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय छ ।,चोर भ्रस्टचारी,GENERAL,1
72,यो विधेक मा चोर भ्रस्टचारी बाहुन छेत्री हरु को नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय छ ।,मास्ने पेल्ने,GENERAL,1
73,"देश बेच्न उग्र रुप मा लागे का दलाल ले देश , डुबाय ।",दलाल,GENERAL,1
74,"Nimesh ji , why call people like Som prasad . He is not specific in his words and doesnt refer to any fact while talking !",not specific in his words,GENERAL,1
75,"Nimesh ji , why call people like Som prasad . He is not specific in his words and doesnt refer to any fact while talking !",doesnt refer to any fact,GENERAL,1
76,सोझा नेवार लाई नियमन गरि राजनीतिक पहुच भए का मान्छे को अघि पछि गर्न लाई लैए को गुठी बिदयक हो यो ।,सोझा,GENERAL,0
77,सोझा नेवार लाई नियमन गरि राजनीतिक पहुच भए का मान्छे को अघि पछि गर्न लाई लैए को गुठी बिदयक हो यो ।,पहुच भए का मान्छे को अघि पछि गर्न,GENERAL,1
78,हाम्रा मठ मन्दिर गुम्बा धर्म सस्कृति धाेस्त पारेर ईनि हाेलिविन अर्थात हाेचिविन काे मुत खाने हरु ले ख्रिस्चियन चर्च बनाउन खाेजेकाे हुन अब सबै नपालि जनता मिलेर देस निकाला गर्नु पर्छ ।,हाेचिविन काे मुत खाने,GENERAL,1
79,यो पाखन्डी भन्डारी क्रिश्चियन को दलाल ओलि को मुत पिएर होलि वाइन को सोझो गर्दैछ नेपाल को परम्परा सस्कार सस्कृती मास्ने नियत हो ।,दलाल,GENERAL,1
80,यो पाखन्डी भन्डारी क्रिश्चियन को दलाल ओलि को मुत पिएर होलि वाइन को सोझो गर्दैछ नेपाल को परम्परा सस्कार सस्कृती मास्ने नियत हो ।,मुत पिएर,GENERAL,1
81,यो पाखन्डी भन्डारी क्रिश्चियन को दलाल ओलि को मुत पिएर होलि वाइन को सोझो गर्दैछ नेपाल को परम्परा सस्कार सस्कृती मास्ने नियत हो ।,मास्ने नियत हो,GENERAL,1
82,सनातन धर्म मास्ने योजना अनुसार आ को यो विधेक हो ।,धर्म मास्ने,GENERAL,1
83,"सबै तहतब् का मा चोरै चोर भए , ।",चोरै चोर,GENERAL,1
84,"समस्या यो गुठि को होइन , समस्या हो सिद्धांन्त को खोल ओडे का भू-माफिया , तस्कर हरू को गुठी को जग्गा हडपने अनि बैद्यता दिने ।","भू-माफिया , तस्कर",GENERAL,1
85,यो सबै समस्या को समाधान को लागि यो भ्रष्ट राज्य सत्ता सदा को लागि अन्त्य गर्न एक हौ ।,भ्रष्ट,GENERAL,1
86,मन्द विष घोलेर खुबाइदैछ हरेक विधेयक ल्याएर जनता सजक नहुने हो भने टाउके र लाउके ले सबै चुस्ने स्रोत खोज्दैछन् ।,टाउके र लाउके,GENERAL,1
87,अधिकारी पशु हो की मान्छे बालुवाटार को जग्गा त बेची खायौं अझ गुठी हरु छोड्छौ तिमी हरु दलाल ले थुक्क नलायक पशु ।,पशु,GENERAL,1
88,अधिकारी पशु हो की मान्छे बालुवाटार को जग्गा त बेची खायौं अझ गुठी हरु छोड्छौ तिमी हरु दलाल ले थुक्क नलायक पशु ।,थुक्क नलायक पशु,GENERAL,1
89,अधिकारी पशु हो की मान्छे बालुवाटार को जग्गा त बेची खायौं अझ गुठी हरु छोड्छौ तिमी हरु दलाल ले थुक्क नलायक पशु ।,दलाल,GENERAL,1
90,सात पुस्ता भने को कति होर सात पुस्ता भन्दा भदी भयो भनेर गूठी खाने खेल हो ।,गूठी खाने खेल हो,GENERAL,1
91,नेपाल को अस्तित्व मेटाउन लाई यो गुठी कानुन रामबाण हो यस्पछी नेपाल लाई तहस नहस पार्न अरु केही गर्न पर्दैन चेतना भय ।,अस्तित्व मेटाउन,GENERAL,1
92,नेपाल को अस्तित्व मेटाउन लाई यो गुठी कानुन रामबाण हो यस्पछी नेपाल लाई तहस नहस पार्न अरु केही गर्न पर्दैन चेतना भय ।,तहस नहस पार्न,GENERAL,1
93,"अस्ती मुनकाे वृयपान पनि नेपालीकाे हीत मा भन्दै थिए अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन , कृश्यन का भतुवा हरू ।",मुनकाे वृयपान,GENERAL,1
94,"अस्ती मुनकाे वृयपान पनि नेपालीकाे हीत मा भन्दै थिए अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन , कृश्यन का भतुवा हरू ।",अरिङ्गाल,GENERAL,1
95,"अस्ती मुनकाे वृयपान पनि नेपालीकाे हीत मा भन्दै थिए अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन , कृश्यन का भतुवा हरू ।",कृश्यन का भतुवा,GENERAL,1
96,अब गूठी मा हस्तक्षेप गरिरहे का छन ।,हस्तक्षेप गरिरहे का,GENERAL,1
97,म पनि बाहुन हु तर यी बाहुन क्षेत्री को नाम मा कलङ्क हरुलाइ चरम यातना दिएर मारिदिए हुन्छ ।,कलङ्क,GENERAL,1
98,ता कि भोलि को दिन मा देश को सन्कृती बेचबिखन तथा देश द्रोह गरने धृस्टता कसै ले पनि नगरोस ।,धृस्टता,GENERAL,1
99,म भित्र यिनि हरु प्रती चरम घृणा छ ।,घृणा छ,GENERAL,1
100,"गुठि ले गर्दा अमेरिका , बेलायत नबन्दा उपत्यका सम्पन्न भएकाे हाे ।",सम्पन्न भएकाे हाे,GENERAL,0
101,गुठि संचालन गर्न जानेन ।,संचालन गर्न जानेन,GENERAL,1
102,"राज्य आफैं अन्तरास्ट्रिय क्रिश्चियन एजेन्ट बनेर होलिवाइन सम्मेलन गर्छ कोरिएन क्रिश्चियन बिश्वबिद्धालय ले क्रिश्चियन धर्म फैलाउन सहयोग गरेबापत भनेर दिय को पदवी थाप्छ , सयौं क्रिश्चियन धर्मपरिवर्तन गर्न लगानी गर्ने संस्था दर्ता गर्न दिन्छ , यहि सरकार ले नेपाल को परंरागत धर्म , संस्कृति रितिरिवाज जोगाउँछ भन्नू एउ टा बेकुफी मात्रै हो सम्पुर्ण सनातन धर्मावलम्बी सडक मा आउनुपर्छ ।",क्रिश्चियन एजेन्ट,GENERAL,1
103,ताई न तुइ को सधै को बहस ।,ताई न तुइ,GENERAL,1
104,बालुवाटार काे जग्गा त हडपेकाे छ गुठि त्यसै छाेड्छन बाहुन हरु ले याे एउ टा सडयन्त्र हाे ।,हडपेकाे छ,GENERAL,1
105,बालुवाटार काे जग्गा त हडपेकाे छ गुठि त्यसै छाेड्छन बाहुन हरु ले याे एउ टा सडयन्त्र हाे ।,सडयन्त्र हाे,GENERAL,1
106,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ नत्र यो दलाल ले सरकार ले काठमाडौं र नेवार समुदाय को सस्कृती मेट्ने कुचेस्टा गरिस को ।,मेट्ने कुचेस्टा गरिस को,GENERAL,1
107,उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ नत्र यो दलाल ले सरकार ले काठमाडौं र नेवार समुदाय को सस्कृती मेट्ने कुचेस्टा गरिस को ।,दलाल,GENERAL,1
108,गुथी बिधेयक ल्यायेर देस नै बेच्ने भो बाहुन हरु ले हे भगवान कसरी हुन्छ बचाउ मेरो देश लाई ।,बेच्ने भो,GENERAL,1
109,अब सत्ता धल्छ नेता मन्त्री साइद लागे हुन्छ काम छैन मुला हरु ।,मुला,GENERAL,1
110,Dr surendra kc lai bolaunu pardaina mc चम्चा हरु ।,mc चम्चा,GENERAL,1
111,"मा. पद्मा अर्याल लाई एक प्रश्न , बिष्णु पौडेल सम्धी हुन कि नाठो ?",नाठो,GENERAL,1
112,"नेपाल को सबैभन्दा शक्तिशाली संस्था प्रधानमन्त्री हो , उहाँ कै खल्ली मा भए को Nepal Engineering College सम्बधित भ्रष्टाचार को प्रमाण छानविन गर्न लामो समय लाग्दो रहेछ ।",भ्रष्टाचार,GENERAL,1
113,कति लाजमर्दो कुरा सरकारि जग्गा कति छ मन्त्रिलाइ नै थाहै छैन रे खालि बसेर तलब भत्ता खान्छौ लाज मान ।,लाजमर्दो कुरा,GENERAL,1
114,मन्त्री भन्दा नि ठुलाे नेता बिस्नु पौडेल भुमाफिया को दलाल भए पछि बिचरा मन्त्री को पद मात्र होईन राजनीतिक जिवन नै समाप्त हुने होला अनि के को कार्वाहि ।,दलाल,GENERAL,1
115,राजा हुदा न देश बिचियो न सरकारि जग्गा बिचियो खाते पार्टी नेता अाए सब बेच्न थाले ।,बेच्न थाले,GENERAL,1
116,निमेष बन्जाडे ज्यु को प्रस्न को प्रस्तुति अति गहन छ ।,गहन छ,GENERAL,0
117,"5 वर्ष यो सरकार टिक्ने हो भने , सरकारी रा गुठी को जग्गा सबै सरकार मा बस्ने हुने हरु को हुने छ , , यो , 2 / ३ नेकापा सरकार नै भूमाफिया को हो ।",भूमाफिया,GENERAL,1
118,युवराज कोइराला जस्ता देशभक्त मान्छे छन् र त नेपाल छ अनि हामी नेपाली हुन पाए का छौं ।,देशभक्त,GENERAL,0
119,"hats off , सल्युट यु सर ।","hats off , सल्युट यु सर",GENERAL,0
120,हाम्रो देश मा सबै दलाल र भर्स्त हरु को मात्र राज हुने भयो देश कहिले बिकास नहुने भयो नालायक चोर हरु ।,दलाल र भर्स्त,GENERAL,1
121,यस कार्यक्रम हेरे पछि यस देश मा अरु २ जना सच्चा देशभक्त हरु पनि रहेछन् भन्ने कुरा थाहा भयो ।,सच्चा देशभक्त,GENERAL,0
122,पद्मा अर्याल को कुरो सुन्दा त्यो पद्मा भन्ने आईमाई बिष्णु पौडेल को रखेल रैछ भन्ने मा कुनै दुईमत रहेन ।,रखेल,GENERAL,1
123,अपराधी डाँका हरु ले स्वर्ग को सपना देखाएर किन राजा फाले का रहेछ्न भन्ने कुरा कम्मर मुनि को भुत्ला देखिने गरि प्रष्ट भयो ।,कम्मर मुनि को भुत्ला,GENERAL,1
124,सम्मानित अदालत का न्यायधीश नै भ्रस्ट भए पछि गर्ने के ?,भ्रस्ट,GENERAL,1
125,"युबराज कोईराला जस्ता देश का सुपुत्र हरु छन , र त भ्रष्ट नेता , दलाल र भुमाफिया हरु लाई चैन सङ्ग देश लुट्न मिले को छैन नत्र त कहि खाली ठाउ रहने थिएन ।",सुपुत्र,GENERAL,0
126,"युबराज कोईराला जस्ता देश का सुपुत्र हरु छन , र त भ्रष्ट नेता , दलाल र भुमाफिया हरु लाई चैन सङ्ग देश लुट्न मिले को छैन नत्र त कहि खाली ठाउ रहने थिएन ।","भ्रष्ट नेता , दलाल र भुमाफिया",GENERAL,1
127,धन्यवाद युबराज कोइराला ज्यु ।,धन्यवाद,GENERAL,0
128,दुई तिहाइ को सरकार लाई लाज लाग्दैन ?,लाज लाग्दैन,GENERAL,1
129,भन्ने बेला मा राजा को नाम मा भए को सबै सम्पती सरकार को नाम ल्याउनु पर्छ भन्न लाज पचे को नालायेक सरकार ।,लाज पचे को नालायेक,GENERAL,1
130,"होइन , हाम्रो देश मा युवराज कोइरालाज्यू जस्ता सपूत पनि रहेछन् , धन्य भएँ आज उहाँ का कुरा सुनेर ।",सपूत,GENERAL,0
131,यस्तो बदमासी र जनता को राष्ट्रिय सम्पति लुटिए को कुरा प्रथम चोटी खोजि अनुसन्धान गर्ने बर्तमान सरकार को कदम राम्रो सुरूवात ।,राम्रो सुरूवात,GENERAL,0
132,यी सबै लुटेरा हुन ।,लुटेरा,GENERAL,1
133,वाेले को सुन्दा पनि रौ नै thadoo hinxa ।,रौ नै thadoo,GENERAL,1
134,होइन यो कान्तिपुर ले किन जहिल्यै पनि एकै किसिम का अपराधी हरु मात्र लिएर आउँछ हो राम्रो अतिथी नपाएर हो कि कान्तिपुर को पनि नियती खराब भएर हो ।,नियती खराब,GENERAL,1
135,होइन यो कान्तिपुर ले किन जहिल्यै पनि एकै किसिम का अपराधी हरु मात्र लिएर आउँछ हो राम्रो अतिथी नपाएर हो कि कान्तिपुर को पनि नियती खराब भएर हो ।,अपराधी,GENERAL,1
136,यो केशब बडाल भन्दा अरु कुनै चोर छैन नेकपा मा यो साला को त अनुहार हेर्यो कि साइत नै बिग्रन्छ चोर ।,साला,GENERAL,1
137,यो केशब बडाल भन्दा अरु कुनै चोर छैन नेकपा मा यो साला को त अनुहार हेर्यो कि साइत नै बिग्रन्छ चोर ।,साइत नै बिग्रन्छ चोर,GENERAL,1
138,3 जना माहा पुरुष को कुरा ठिक हो तर मन्त्री ज्यु को कुरा ले प्रष्ट के बुज्न सकिन्छ भने आफ्नो पद र पाटी लाई बचाउदै छिन ।,कुरा ठिक,GENERAL,0
139,3 जना माहा पुरुष को कुरा ठिक हो तर मन्त्री ज्यु को कुरा ले प्रष्ट के बुज्न सकिन्छ भने आफ्नो पद र पाटी लाई बचाउदै छिन ।,बचाउदै छिन,GENERAL,1
140,नेपाल राज्य को ऐनकानुन भै दिए को भए सरकारी जमिन ब्याक्ति को नाम मा हुने थिएन ।,हुने थिएन,GENERAL,1
141,अन्त्य मा आयोग को बहना मा ढिसमिस गर्ने प्रपन्च हो ।,प्रपन्च,GENERAL,1
142,लाजमर्दो कुरा मन्त्रि पनि अन्धा धुन्ध के भईरा छ वल्ल सुनिराछ मन्त्रालय मा उपन्यास पढेर वस्छे क्या हो ।,लाजमर्दो,GENERAL,1
143,यो केशब बडालभन्ने जन्तु लाई कुनै पनि tv च्यानल ले कहिल्यै नबोलाउनुहोस यो कहिल्यै साचो बोल्दैन र मन्त्री अर्याल पनि भु माफिया कै पक्ष मा छिन यस्ता पनि मन्त्री !,जन्तु,GENERAL,1
144,हे भगवान् येस्ता आइमाई पनि मन्त्रालय सम्हालेर बसे को छ्न यो देश मा. .. सुगा जस्तो जे सि का को छ पार्टि ले त्येहि मात्र बोले को आफ्नो न बुद्दि छ न अनुभव ... धिक्कार छ नेपाली जनता लाइ येस्ता आइमाई लाइ जिताउने अरु सब गुंगा र बहिरा मात्र छ्न कि क्या त्यो ठाउँ मा. .. ।,हे भगवान्,GENERAL,1
